Gene ID,FC pC vs H,FC pC vs HpC,FC HpC vs H,Gene Symbol,,pC1,pC2,pC3,H1,H2,H3,HpC1,HpC2,HpC3,HpC4
18538,3.9806185,1.2971427,3.0687592,Pcna,,0.29269886,0.5150404,0.21284294,-1.8780365,-1.4002275,-1.6801314,-0.3357954,0.19522285,0.16871357,-0.16871357
11819,2.993965,-1.0244006,3.0670192,Nr2f2,,0.38077736,-0.08923817,0.08923817,-1.7445498,-1.4770384,-1.1438065,0.1120224,-0.20592117,0.1700201,0.5707016
18583,3.1358519,1.0234826,3.0639036,Pde7a,,0.17054176,0.22689342,-0.085250854,-1.3619018,-1.8686624,-1.4038234,-0.22308922,0.22675705,0.08525181,0.19338036
211429,1.7419976,-1.758017,3.0624611,Pla2g4b,,-0.6874757,-0.2596736,0.48132658,-0.91562366,-0.61171484,-1.3407121,0.9025483,0.46625948,0.2596736,1.0062175
64294,3.673791,1.201178,3.05849,Itm2c,,0.66014004,0.5224409,0.006916046,-1.9622917,-1.3156977,-1.1643219,0.37096596,-0.13282394,0.29697132,-0.006917
11906,3.0343983,-1.0079216,3.0584357,Zfhx3,,0.17102814,0.039162636,0.13946247,-1.5341845,-1.4640589,-1.4563351,-0.15617752,-0.039162636,0.3734045,0.33367348
217203,3.2533407,1.0641322,3.057271,Tmem106a,,0.7921667,-0.10400486,0.5071969,-1.1825886,-1.1174169,-1.6104016,0.05880785,0.35207844,0.88302374,-0.058808327
75625,3.4980779,1.1442722,3.0570328,Mageh1,,0.5104213,0.30598068,-0.00726223,-1.0505486,-1.1780219,-2.381977,0.39964724,-0.34673166,0.24095392,0.00726223
21981,6.317028,2.0687919,3.0534868,Ppp1r13b,,0.90642357,1.3740273,0.9030628,-1.7494059,-1.5376644,-1.5071545,-0.26802444,-0.22798347,0.31755447,0.22798443
12496,2.659049,-1.148242,3.0532317,Entpd2,,0.30177164,-0.05965376,-0.25973845,-2.2546177,-1.0023866,-0.99334764,0.40525913,0.059654236,0.13164091,0.17765856
18503,10.443769,3.4218667,3.052068,Pax1,,2.294662,1.1672134,1.4152746,-1.0634074,-1.9013743,-2.31178,0.046492577,-0.6427598,0.005635262,-0.005635262
67330,3.3001933,1.0819558,3.050211,1700047M11Rik,,-0.05694151,0.3922963,1.0974345,-1.1662767,-1.6823153,-0.8862703,-0.04672575,0.046725273,0.4238348,1.0319853
68708,2.8388717,-1.0730964,3.0463831,Rabl2,,-0.14844799,-0.0032897,0.04483223,-1.4027839,-1.0708251,-2.1492496,0.0032897,0.044627666,0.036149025,0.18051195
22388,2.6009796,-1.1703662,3.0440986,Wdr1,,-0.006592751,0.006591797,0.4162531,-1.3472271,-1.0421982,-1.3314877,-0.09976578,0.95703983,0.4773035,0.12826538
78889,4.091702,1.3454826,3.0410666,Wsb1,,0.18298149,0.6888685,0.58933735,-1.7355471,-1.5274162,-1.3739529,-0.3358879,-0.17876911,0.17876816,0.5716438
72114,3.9396336,1.2990036,3.0328119,Zbed3,,0.44616175,0.45663214,0.024829388,-2.1168914,-1.2544184,-1.635251,-0.007394314,-0.5770793,0.007394314,0.30428886
241727,1.2944584,-2.3370368,3.025197,Snph,,-0.023954391,-0.08470726,0.023954391,-0.4088149,-0.6052358,-0.18770218,1.3522816,0.9394655,0.71641016,1.7776217
18514,2.642818,-1.144684,3.0251913,Pbx1,,0.07663059,0.022667885,-0.20931816,-1.7977333,-1.4156933,-1.1028242,-0.022667885,0.13327026,0.34161377,0.18088818
213084,3.2907724,1.0879172,3.0248373,Cdkl3,,0.48234606,0.13269281,0.31883955,-0.87053394,-1.640868,-1.7099986,-0.34371758,-0.13269281,0.2110672,1.0242395
231125,2.064158,-1.4652187,3.0244427,Zfyve28,,-0.2985444,-0.44315147,0.56027126,-1.4227686,-0.8628435,-1.0324726,0.49003792,0.29854488,0.4972329,0.67674875
626870,4.2865295,1.4180496,3.0228348,Gm11992,,0.5199418,0.7531314,0.32862854,-2.0210853,-0.6460581,-2.0305853,-0.15151262,-0.30780792,0.15151215,0.42777872
224674,3.071122,1.016061,3.0225763,Slc37a1,,0.23392296,-0.005375862,0.32215786,-1.3750958,-1.0021772,-1.9283195,-0.120778084,0.005375862,0.4533844,0.30434322
19075,3.1629672,1.048112,3.0177758,Prim1,,0.42872143,0.31394958,0.03149271,-0.67972326,-2.2181296,-1.3118191,-0.031493187,0.6029453,-0.035791874,0.22538614
76220,4.2000847,1.3919436,3.017424,6530402F18Rik,,0.5222492,0.34940815,0.6403227,-1.0432572,-1.6918111,-1.9642067,-0.081980705,-0.18871975,0.08198118,0.29628944
228876,3.4264615,1.13556,3.0174196,Zfp334,,0.3335657,0.27037525,-0.0534935,-1.376852,-1.7657394,-1.6371193,0.21562481,-0.48656845,0.2177639,0.0534935
114565,3.8935702,1.2915152,3.0147305,Zbtb21,,0.19431114,0.2920704,0.65402603,-1.6929636,-1.5428648,-1.5070448,-0.46259117,-0.19431019,0.3398552,0.361331
268783,6.021188,1.9983445,3.013088,Mtmr12,,0.8963766,1.1237516,0.96289253,-1.5601883,-1.6131792,-1.6137562,-0.37276077,6.63E-04,0.35490036,-6.63E-04
407823,4.204908,1.3969017,3.0101674,Baz2b,,0.49552155,0.6663332,0.40747166,-1.7266378,-1.475069,-1.4451895,-0.29783916,0.01138401,-0.01138401,0.46135235
67967,4.888926,1.6264936,3.0058074,Pold3,,0.69611263,0.71485233,0.785552,-1.3852563,-1.547658,-1.7391219,-0.24580574,-0.20940685,0.20940685,0.3674345
320706,3.281396,1.0933515,3.0012271,Soga1,,0.038366318,0.27012062,0.08882904,-1.873249,-1.316122,-1.556242,-0.038365364,-0.335248,0.23730946,0.15102959
53378,2.6501534,-1.1322582,3.000658,Sdcbp,,0.03263378,0.03714943,-0.3442669,-1.6782513,-1.1559,-1.6585598,-0.015036583,0.015036583,0.3039627,0.046871185
545389,3.4989655,1.1669327,2.9984293,Cep170,,0.44938564,0.5190916,0.06513977,-1.3858004,-1.632781,-1.3685865,-0.065140724,-0.25402832,0.5247135,0.28172588
21453,3.292919,1.0986556,2.997226,Tcof1,,0.067032814,0.20795155,0.215971,-1.5509453,-1.4728346,-1.6433659,-0.21305847,0.25415134,0.13759136,-0.06703377
382090,3.096796,1.0333967,2.9967158,4922501C03Rik,,0.0391016,0.071297646,0.32228374,-1.0933619,-1.8031397,-1.5631447,-0.039102554,-0.35978413,0.30634022,0.47988033
19216,3.4264386,1.1440045,2.995127,Ptger1,,0.15150452,0.23573399,0.028956413,-1.6958752,-1.5484762,-1.6695833,-0.028956413,-0.35412169,0.091454506,0.07017946
381259,3.2644253,1.0902935,2.9940796,Tmem237,,0.25168085,0.3975134,-0.02698183,-1.2968364,-1.8435717,-1.3578668,-0.10328531,0.026982307,0.1843195,0.22273397
320299,4.179078,1.3970857,2.9912827,Iqcb1,,0.5288243,0.67457104,0.28928804,-1.8255115,-1.8858705,-0.9854889,-0.16281843,-0.20658302,0.2671461,0.16281796
227960,3.2742248,1.0951384,2.9897816,Gca,,0.19770336,0.005602837,0.40109348,-1.721447,-1.3072791,-1.5003343,-0.005602837,-0.34078312,0.3645277,0.26327133
381334,20.808455,6.9605784,2.9894729,Gal3st2,,3.2074795,2.6869888,2.4509597,-1.217591,-2.03538,-1.5388949,0.26000738,-0.18055391,-0.32959795,0.18055439
17776,3.2698066,1.0949669,2.9862149,Mast2,,0.35879898,0.12077236,-0.024866104,-1.7521839,-1.3950434,-1.5256834,-0.38658428,0.02486515,0.3547125,0.08973122
381066,3.2747607,1.0969837,2.9852414,Zfp948,,-0.065243244,0.30905914,0.26121235,-1.4608235,-1.5211821,-1.6471348,-0.6603408,0.58378124,0.1505189,0.06524372
27223,3.4246845,1.1477706,2.9837706,Trp53bp1,,0.17556095,0.37819767,0.11154652,-1.7323055,-1.6055212,-1.3247814,-0.11154556,-0.16973782,0.1366396,0.23637962
73845,3.5623853,1.1946353,2.9819853,Ankrd42,,0.27617407,0.19606304,0.25371552,-1.853807,-1.3698454,-1.5489254,-0.13183069,-0.40151358,0.13183069,0.3431692
242570,5.5891237,1.8743129,2.9819589,Raver2,,0.1965723,0.9407234,1.3406019,-2.0161672,-1.2691712,-1.6846304,-0.14373302,-0.62582064,0.1437335,0.3042364
17131,3.2449846,1.088592,2.9809005,Smad7,,0.55835056,0.29289055,-0.10584164,-1.4721327,-1.7928486,-1.0842543,-0.23956966,0.5123358,0.10584164,0.12540436
13800,4.206425,1.4112718,2.9805915,Enah,,0.78579426,0.4583845,0.3467245,-2.2191381,-1.431468,-0.9762745,-0.075834274,0.00701046,0.20905495,-0.00701046
21912,10.068149,3.378446,2.9801126,Tspan7,,2.0985641,1.9932365,1.4395695,-1.4326472,-1.4504604,-1.5807023,0.09994364,0.6085539,-0.2588334,-0.09994316
12808,4.5188317,1.5187926,2.9752789,Cobl,,0.78628254,0.6550102,0.5387907,-1.9066305,-1.3028917,-1.3382435,-0.21382809,-0.13704586,0.13704681,0.4422388
18787,-1.1778789,-3.5018027,2.9729736,Serpine1,,-0.774539,-0.317842,-0.6628113,-0.586009,-0.7784524,0.31784248,1.3816185,1.040884,1.7456236,0.72400856
103406,4.006486,1.3498851,2.9680202,Zfr2,,0.3778963,0.4119873,0.83154297,-1.1535721,-1.3706107,-1.861403,-0.10875893,-0.39142132,0.10875845,0.8219776
108655,4.1011434,1.382417,2.9666474,Foxp1,,0.5991192,0.70879936,0.23653793,-1.5494909,-1.5058966,-1.508235,-0.26275826,0.17386818,-0.17386723,0.45326138
13435,3.300598,1.1128553,2.9658825,Dnmt3a,,0.39608002,0.25655556,0.07139969,-1.54844,-1.5751686,-1.3205385,-0.07139969,-0.15317154,0.28746128,0.28542614
271127,12.299228,4.148917,2.9644427,Adamts16,,2.6119103,1.9838533,2.048006,-1.1260738,-2.3050776,-0.78656626,-0.3964696,-0.3504634,0.3504634,1.04389
105841,3.2804759,1.1093733,2.957053,Dennd3,,0.047151566,0.22828484,0.094306946,-1.6824169,-1.6002369,-1.4893184,-0.011587143,-0.38751745,0.28152752,0.011588097
209003,3.2492363,1.0999058,2.9541042,Rbmx2,,0.22399712,0.03282118,0.10751915,-1.1651626,-1.4181662,-2.152636,0.008836269,-0.079916,0.016179562,-0.008836746
12053,4.7457848,1.607019,2.9531603,Bcl6,,0.17651749,1.4445772,0.34810352,-1.9576926,-2.1435828,-0.669466,-0.47557163,0.36362076,-0.14897156,0.14897251
223435,4.4569674,1.5094855,2.95264,Trio,,0.61699295,0.62191486,0.5311737,-1.7299404,-1.5190039,-1.4491615,-0.32456303,-0.19624233,0.19624233,0.30844402
216560,3.9681983,1.3500468,2.9393044,Wdpcp,,0.63844585,0.38626575,0.31244564,-1.2397647,-1.6723762,-1.7161541,-0.41940308,-0.13059235,0.13059235,0.47024202
72465,3.0977907,1.0539588,2.9391954,Zfp131,,-0.40756702,0.575305,0.7354107,-1.3300095,-1.3529596,-1.307601,-0.27360058,0.27360058,0.3982277,0.502697
14345,3.2343247,1.1021585,2.9345367,Fut4,,0.48489237,0.33376646,-0.194633,-1.8208628,-0.6149578,-2.0205467,0.23403502,-0.38523197,0.194633,0.22727156
26417,3.1919641,1.0886687,2.9319887,Mapk3,,0.5436373,0.25447464,-0.1273117,-1.6552391,-1.2521973,-1.445097,-0.013266563,0.20067596,0.20346451,0.013266563
76967,4.3685346,1.4921378,2.9277017,2700049A03Rik,,0.6544771,0.8625698,0.476223,-1.4405313,-1.7606497,-1.1869969,0.12045479,-0.120455265,-0.15818882,0.5063596
20498,3.3315656,1.1381794,2.9271004,Slc12a4,,0.36655426,0.15496826,0.19422054,-1.5240684,-1.3311558,-1.6376338,-0.15496826,-0.36842442,0.45853043,0.27227402
75547,3.7153523,1.2715381,2.9219356,Akap13,,0.44087696,0.314044,0.32386398,-1.7576132,-1.4648447,-1.3792543,-0.5489874,-0.314044,0.45592785,0.45918465
67454,3.0920608,1.0588014,2.9203405,Ikbip,,0.3745451,0.12025833,-0.12025881,-1.3119817,-1.5405478,-1.6586318,0.15843678,-0.3307004,0.16110611,0.18082237
